"RaumNr","Raum","Oberthema","Zahl","Thema","Vergleichszahl","Vergleichstext","Bemerkungen"
420,"Langstrasse","Bevölkerung & Gesellschaft",10,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
440,"Hard","Bevölkerung & Gesellschaft",8,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
510,"Gewerbeschule","Bevölkerung & Gesellschaft",5,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
520,"Escher Wyss","Bevölkerung & Gesellschaft",10,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
610,"Unterstrass","Bevölkerung & Gesellschaft",16,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
630,"Oberstrass","Bevölkerung & Gesellschaft",12,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
710,"Fluntern","Bevölkerung & Gesellschaft",9,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
720,"Hottingen","Bevölkerung & Gesellschaft",10,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
730,"Hirslanden","Bevölkerung & Gesellschaft",5,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
740,"Witikon","Bevölkerung & Gesellschaft",7,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
810,"Seefeld","Bevölkerung & Gesellschaft",5,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
820,"Mühlebach","Bevölkerung & Gesellschaft",9,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
830,"Weinegg","Bevölkerung & Gesellschaft",9,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
910,"Albisrieden","Bevölkerung & Gesellschaft",17,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
920,"Altstetten","Bevölkerung & Gesellschaft",20,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
1010,"Höngg","Bevölkerung & Gesellschaft",14,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
1020,"Wipkingen","Bevölkerung & Gesellschaft",15,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
1110,"Affoltern","Bevölkerung & Gesellschaft",10,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
1150,"Oerlikon","Bevölkerung & Gesellschaft",20,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
1190,"Seebach","Bevölkerung & Gesellschaft",18,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
1210,"Saatlen","Bevölkerung & Gesellschaft",6,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
1220,"Schwamendingen-Mitte","Bevölkerung & Gesellschaft",8,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
1230,"Hirzenbach","Bevölkerung & Gesellschaft",6,"Kinderkrippen",,"Keine Vergleichszahl","Datenquelle: Sozialpartement (laufende Nachführung)"
0,"Ganze Stadt","Bauen & Wohnen",225294,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1,"Kreis 1","Bauen & Wohnen",3869,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
2,"Kreis 2","Bauen & Wohnen",17738,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
3,"Kreis 3","Bauen & Wohnen",27000,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
4,"Kreis 4","Bauen & Wohnen",16227,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
5,"Kreis 5","Bauen & Wohnen",8516,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
6,"Kreis 6","Bauen & Wohnen",18348,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
7,"Kreis 7","Bauen & Wohnen",20419,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
8,"Kreis 8","Bauen & Wohnen",10223,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
9,"Kreis 9","Bauen & Wohnen",29127,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
10,"Kreis 10","Bauen & Wohnen",21372,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
11,"Kreis 11","Bauen & Wohnen",37054,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
12,"Kreis 12","Bauen & Wohnen",15401,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
110,"Rathaus","Bauen & Wohnen",2318,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
120,"Hochschulen","Bauen & Wohnen",322,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
130,"Lindenhof","Bauen & Wohnen",833,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
140,"City","Bauen & Wohnen",396,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
210,"Wollishofen","Bauen & Wohnen",9747,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
230,"Leimbach","Bauen & Wohnen",2720,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
240,"Enge","Bauen & Wohnen",5271,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
310,"Alt-Wiedikon","Bauen & Wohnen",10240,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
330,"Friesenberg","Bauen & Wohnen",4501,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
340,"Sihlfeld","Bauen & Wohnen",12259,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
410,"Werd","Bauen & Wohnen",2386,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
420,"Langstrasse","Bauen & Wohnen",6802,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
440,"Hard","Bauen & Wohnen",7039,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
510,"Gewerbeschule","Bauen & Wohnen",5248,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
520,"Escher Wyss","Bauen & Wohnen",3268,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
610,"Unterstrass","Bauen & Wohnen",12612,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
630,"Oberstrass","Bauen & Wohnen",5736,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
710,"Fluntern","Bauen & Wohnen",4371,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
720,"Hottingen","Bauen & Wohnen",6082,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
730,"Hirslanden","Bauen & Wohnen",4123,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
740,"Witikon","Bauen & Wohnen",5843,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
810,"Seefeld","Bauen & Wohnen",3598,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
820,"Mühlebach","Bauen & Wohnen",3890,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
830,"Weinegg","Bauen & Wohnen",2735,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
910,"Albisrieden","Bauen & Wohnen",11583,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
920,"Altstetten","Bauen & Wohnen",17544,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1010,"Höngg","Bauen & Wohnen",12192,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1020,"Wipkingen","Bauen & Wohnen",9180,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1110,"Affoltern","Bauen & Wohnen",12158,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1150,"Oerlikon","Bauen & Wohnen",12210,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1190,"Seebach","Bauen & Wohnen",12686,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1210,"Saatlen","Bauen & Wohnen",3369,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1220,"Schwamendingen-Mitte","Bauen & Wohnen",5953,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1230,"Hirzenbach","Bauen & Wohnen",6079,"Wohnungen",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
0,"Ganze Stadt","Bauen & Wohnen",14166,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1,"Kreis 1","Bauen & Wohnen",1,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
2,"Kreis 2","Bauen & Wohnen",1592,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
3,"Kreis 3","Bauen & Wohnen",936,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
4,"Kreis 4","Bauen & Wohnen",521,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
5,"Kreis 5","Bauen & Wohnen",817,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
6,"Kreis 6","Bauen & Wohnen",793,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
7,"Kreis 7","Bauen & Wohnen",684,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
8,"Kreis 8","Bauen & Wohnen",356,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
9,"Kreis 9","Bauen & Wohnen",3247,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
10,"Kreis 10","Bauen & Wohnen",1204,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
11,"Kreis 11","Bauen & Wohnen",2012,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
12,"Kreis 12","Bauen & Wohnen",2003,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
110,"Rathaus","Bauen & Wohnen",0,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
120,"Hochschulen","Bauen & Wohnen",0,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
130,"Lindenhof","Bauen & Wohnen",0,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
140,"City","Bauen & Wohnen",1,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
210,"Wollishofen","Bauen & Wohnen",1229,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
230,"Leimbach","Bauen & Wohnen",119,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
240,"Enge","Bauen & Wohnen",244,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
310,"Alt-Wiedikon","Bauen & Wohnen",451,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
330,"Friesenberg","Bauen & Wohnen",225,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
340,"Sihlfeld","Bauen & Wohnen",260,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
410,"Werd","Bauen & Wohnen",102,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
420,"Langstrasse","Bauen & Wohnen",336,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
440,"Hard","Bauen & Wohnen",83,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
510,"Gewerbeschule","Bauen & Wohnen",34,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
520,"Escher Wyss","Bauen & Wohnen",783,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
610,"Unterstrass","Bauen & Wohnen",709,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
630,"Oberstrass","Bauen & Wohnen",84,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
710,"Fluntern","Bauen & Wohnen",292,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
720,"Hottingen","Bauen & Wohnen",51,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
730,"Hirslanden","Bauen & Wohnen",51,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
740,"Witikon","Bauen & Wohnen",290,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
810,"Seefeld","Bauen & Wohnen",138,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
820,"Mühlebach","Bauen & Wohnen",76,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
830,"Weinegg","Bauen & Wohnen",142,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
910,"Albisrieden","Bauen & Wohnen",1502,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
920,"Altstetten","Bauen & Wohnen",1745,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1010,"Höngg","Bauen & Wohnen",811,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1020,"Wipkingen","Bauen & Wohnen",393,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1110,"Affoltern","Bauen & Wohnen",582,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1150,"Oerlikon","Bauen & Wohnen",657,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1190,"Seebach","Bauen & Wohnen",773,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1210,"Saatlen","Bauen & Wohnen",602,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1220,"Schwamendingen-Mitte","Bauen & Wohnen",295,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1230,"Hirzenbach","Bauen & Wohnen",1106,"Neubauwohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
0,"Ganze Stadt","Bauen & Wohnen",4600,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1,"Kreis 1","Bauen & Wohnen",0,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
2,"Kreis 2","Bauen & Wohnen",449,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
3,"Kreis 3","Bauen & Wohnen",441,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
4,"Kreis 4","Bauen & Wohnen",111,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
5,"Kreis 5","Bauen & Wohnen",12,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
6,"Kreis 6","Bauen & Wohnen",403,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
7,"Kreis 7","Bauen & Wohnen",277,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
8,"Kreis 8","Bauen & Wohnen",242,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
9,"Kreis 9","Bauen & Wohnen",976,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
10,"Kreis 10","Bauen & Wohnen",276,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
11,"Kreis 11","Bauen & Wohnen",538,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
12,"Kreis 12","Bauen & Wohnen",875,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
110,"Rathaus","Bauen & Wohnen",0,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
120,"Hochschulen","Bauen & Wohnen",0,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
130,"Lindenhof","Bauen & Wohnen",0,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
140,"City","Bauen & Wohnen",0,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
210,"Wollishofen","Bauen & Wohnen",370,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
230,"Leimbach","Bauen & Wohnen",4,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
240,"Enge","Bauen & Wohnen",75,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
310,"Alt-Wiedikon","Bauen & Wohnen",26,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
330,"Friesenberg","Bauen & Wohnen",223,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
340,"Sihlfeld","Bauen & Wohnen",192,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
410,"Werd","Bauen & Wohnen",53,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
420,"Langstrasse","Bauen & Wohnen",23,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
440,"Hard","Bauen & Wohnen",35,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
510,"Gewerbeschule","Bauen & Wohnen",9,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
520,"Escher Wyss","Bauen & Wohnen",3,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
610,"Unterstrass","Bauen & Wohnen",365,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
630,"Oberstrass","Bauen & Wohnen",38,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
710,"Fluntern","Bauen & Wohnen",156,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
720,"Hottingen","Bauen & Wohnen",18,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
730,"Hirslanden","Bauen & Wohnen",36,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
740,"Witikon","Bauen & Wohnen",67,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
810,"Seefeld","Bauen & Wohnen",95,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
820,"Mühlebach","Bauen & Wohnen",75,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
830,"Weinegg","Bauen & Wohnen",72,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
910,"Albisrieden","Bauen & Wohnen",381,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
920,"Altstetten","Bauen & Wohnen",595,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1010,"Höngg","Bauen & Wohnen",167,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1020,"Wipkingen","Bauen & Wohnen",109,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1110,"Affoltern","Bauen & Wohnen",95,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1150,"Oerlikon","Bauen & Wohnen",258,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1190,"Seebach","Bauen & Wohnen",185,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1210,"Saatlen","Bauen & Wohnen",204,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1220,"Schwamendingen-Mitte","Bauen & Wohnen",215,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1230,"Hirzenbach","Bauen & Wohnen",456,"Abgebrochene Wohnungen der letzten fünf Jahre",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
0,"Ganze Stadt","Bauen & Wohnen",39.2,"Durchschnittliche Wohnfläche (Quadratmeter pro Person)",9.4,"Anzahl Tischtennistische","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1,"Kreis 1","Bauen & Wohnen",43.2,"Durchschnittliche Wohnfläche (Quadratmeter pro Person)",10.3,"Anzahl Tischtennistische","Datenquelle: Gebäude- und Wohnungsregister (2018)"
2,"Kreis 2","Bauen & Wohnen",40.5,"Durchschnittliche Wohnfläche (Quadratmeter pro Person)",9.7,"Anzahl Tischtennistische","Datenquelle: Gebäude- und Wohnungsregister (2018)"
